id,company_id,data_point,date_of_data,internal_company_id,report_type,created_by,created_date,last_modified_by,last_modified_date
311869,23199,0.710526315789474,2023-01-05,94,5,BATCH,2023-01-05 23:01:03.8070000,BATCH,2023-01-05 23:01:03.8070000
311930,19900,0.828571428571429,2023-01-05,93,5,BATCH,2023-01-05 23:01:10.6410000,BATCH,2023-01-05 23:01:10.6410000
311910,20919,0.722543352601156,2023-01-05,95,5,BATCH,2023-01-05 23:01:08.2770000,BATCH,2023-01-05 23:01:08.2770000
311715,20919,0.695906432748538,2023-01-04,95,5,BATCH,2023-01-04 23:00:48.3660000,BATCH,2023-01-04 23:00:48.3660000
311610,19900,0.819047619047619,2023-01-04,93,5,BATCH,2023-01-04 23:00:42.1710000,BATCH,2023-01-04 23:00:42.1710000
311669,23199,0.710526315789474,2023-01-04,94,5,BATCH,2023-01-04 23:00:44.3100000,BATCH,2023-01-04 23:00:44.3100000
311381,23199,0.710526315789474,2023-01-03,94,5,BATCH,2023-01-03 23:00:33.0020000,BATCH,2023-01-03 23:00:33.0020000
311467,19900,0.819047619047619,2023-01-03,93,5,BATCH,2023-01-03 23:00:39.5820000,BATCH,2023-01-03 23:00:39.5820000
311412,20919,0.63030303030303,2023-01-03,95,5,BATCH,2023-01-03 23:00:35.2550000,BATCH,2023-01-03 23:00:35.2550000
311191,20919,0.642424242424242,2023-01-02,95,5,BATCH,2023-01-02 23:00:15.4350000,BATCH,2023-01-02 23:00:15.4350000
311062,19900,0.819047619047619,2023-01-02,93,5,BATCH,2023-01-02 23:00:10.6110000,BATCH,2023-01-02 23:00:10.6110000
311118,23199,0.710526315789474,2023-01-02,94,5,BATCH,2023-01-02 23:00:12.3230000,BATCH,2023-01-02 23:00:12.3230000
310824,23199,0.710526315789474,2023-01-01,94,5,BATCH,2023-01-01 23:03:04.9960000,BATCH,2023-01-01 23:03:04.9960000
310917,19900,0.828571428571429,2023-01-01,93,5,BATCH,2023-01-01 23:03:11.8140000,BATCH,2023-01-01 23:03:11.8140000
310869,20919,0.703030303030303,2023-01-01,95,5,BATCH,2023-01-01 23:03:08.8330000,BATCH,2023-01-01 23:03:08.8330000
310665,20919,0.759259259259259,2022-12-31,95,5,BATCH,2022-12-31 23:02:48.6300000,BATCH,2022-12-31 23:02:48.6300000
310604,19900,0.828571428571429,2022-12-31,93,5,BATCH,2022-12-31 23:02:43.9300000,BATCH,2022-12-31 23:02:43.9300000
310574,23199,0.710526315789474,2022-12-31,94,5,BATCH,2022-12-31 23:02:42.9920000,BATCH,2022-12-31 23:02:42.9920000
310310,23199,0.710526315789474,2022-12-30,94,5,BATCH,2022-12-30 23:02:35.1910000,BATCH,2022-12-30 23:02:35.1910000
310335,19900,0.819047619047619,2022-12-30,93,5,BATCH,2022-12-30 23:02:36.1990000,BATCH,2022-12-30 23:02:36.1990000
310381,20919,0.759259259259259,2022-12-30,95,5,BATCH,2022-12-30 23:02:40.2180000,BATCH,2022-12-30 23:02:40.2180000
310167,20919,0.734567901234568,2022-12-29,95,5,BATCH,2022-12-29 23:02:23.3300000,BATCH,2022-12-29 23:02:23.3300000
310071,19900,0.828571428571429,2022-12-29,93,5,BATCH,2022-12-29 23:02:17.4790000,BATCH,2022-12-29 23:02:17.4790000
